epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.347,1.1705,0.64375,1.08689,0.96637,0.90329,0.95254,0.64719,1.18542,0.57519,1.10963,0.000665158,0.000665158,0.000665158
2,312.986,1.15182,0.62871,1.07985,0.9697,0.90068,0.94689,0.64555,1.17371,0.57245,1.10921,0.00128787,0.00128787,0.00128787
3,468.266,1.16025,0.63683,1.08855,0.96989,0.90524,0.94853,0.63801,1.1978,0.59083,1.113,0.00186659,0.00186659,0.00186659
4,619.081,1.17928,0.64436,1.09289,0.95354,0.91629,0.94802,0.64076,1.16574,0.59069,1.10257,0.001802,0.001802,0.001802
5,772.114,1.17902,0.63607,1.09698,0.95502,0.91894,0.95373,0.64325,1.18022,0.56054,1.1012,0.001736,0.001736,0.001736
6,926.878,1.16988,0.62302,1.09511,0.9754,0.91435,0.95424,0.65276,1.16358,0.54661,1.09888,0.00167,0.00167,0.00167
7,1081.72,1.15387,0.60567,1.08251,0.96957,0.92887,0.95745,0.66299,1.13397,0.52746,1.07994,0.001604,0.001604,0.001604
8,1234.02,1.14636,0.60218,1.08221,0.97773,0.9202,0.9617,0.6706,1.13392,0.53308,1.08405,0.001538,0.001538,0.001538
9,1385.27,1.13827,0.58192,1.07504,0.96988,0.92415,0.95763,0.66302,1.14119,0.51488,1.08353,0.001472,0.001472,0.001472
10,1536.83,1.12835,0.57451,1.07293,0.97396,0.92346,0.96025,0.66277,1.13381,0.51724,1.07595,0.001406,0.001406,0.001406
11,1687.68,1.12736,0.56847,1.06871,0.98533,0.91801,0.96193,0.6732,1.131,0.50331,1.07828,0.00134,0.00134,0.00134
12,1838.68,1.12022,0.56093,1.07229,0.977,0.92889,0.96133,0.66798,1.11866,0.51068,1.07251,0.001274,0.001274,0.001274
13,1987.37,1.10276,0.54739,1.06011,0.98543,0.92301,0.96723,0.67262,1.11307,0.49085,1.07473,0.001208,0.001208,0.001208
14,2139.15,1.10432,0.54475,1.05679,0.9812,0.92737,0.9643,0.68208,1.1038,0.48342,1.06526,0.001142,0.001142,0.001142
15,2291.63,1.10719,0.53683,1.05918,0.97724,0.93257,0.96141,0.67576,1.1074,0.48106,1.05984,0.001076,0.001076,0.001076
16,2442.39,1.0904,0.52804,1.0505,0.9803,0.92958,0.96847,0.69045,1.09409,0.46895,1.05531,0.00101,0.00101,0.00101
17,2595.33,1.08444,0.51583,1.04806,0.97456,0.9385,0.9677,0.68422,1.10119,0.46092,1.05635,0.000944,0.000944,0.000944
18,2746.36,1.08326,0.51399,1.05072,0.97874,0.93531,0.96499,0.68497,1.08883,0.46501,1.05346,0.000878,0.000878,0.000878
19,2898.3,1.0861,0.50985,1.04816,0.97964,0.94238,0.96892,0.69088,1.08206,0.44958,1.05277,0.000812,0.000812,0.000812
20,3052.58,1.069,0.49944,1.04554,0.98183,0.93394,0.96425,0.68332,1.08481,0.45511,1.04896,0.000746,0.000746,0.000746
21,3200.41,1.06614,0.4638,1.057,0.98285,0.93576,0.96826,0.68855,1.08531,0.45515,1.05335,0.00068,0.00068,0.00068
22,3347.54,1.0559,0.45286,1.04924,0.97677,0.93846,0.96594,0.68987,1.08525,0.44441,1.05045,0.000614,0.000614,0.000614
23,3493.45,1.05086,0.44761,1.04164,0.97778,0.94208,0.96931,0.69627,1.0721,0.45319,1.04267,0.000548,0.000548,0.000548
24,3638.93,1.03622,0.44081,1.03745,0.98639,0.93394,0.96989,0.69828,1.06791,0.4449,1.04176,0.000482,0.000482,0.000482
25,3785.06,1.03062,0.43021,1.03441,0.98195,0.94184,0.96982,0.69317,1.06462,0.43195,1.03737,0.000416,0.000416,0.000416
26,3931.93,1.02635,0.4251,1.03386,0.9801,0.94219,0.9671,0.69902,1.05712,0.42567,1.03667,0.00035,0.00035,0.00035
27,4083.19,1.02194,0.42344,1.03198,0.97997,0.94169,0.96942,0.70135,1.05684,0.4239,1.03697,0.000284,0.000284,0.000284
28,4229.75,1.01265,0.4139,1.02518,0.98185,0.94123,0.96922,0.70288,1.06225,0.42093,1.03624,0.000218,0.000218,0.000218
29,4376.86,1.00659,0.40982,1.02448,0.98223,0.94442,0.9695,0.69994,1.05719,0.42245,1.03524,0.000152,0.000152,0.000152
30,4523.08,0.99999,0.40359,1.02161,0.98363,0.94077,0.96886,0.70458,1.0519,0.41285,1.03279,8.6e-05,8.6e-05,8.6e-05
